NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIBCH	212	4.538638591766357	-0.0049077612	Yes	
row_1	BCKDHB	336	3.4275412559509277	-0.0050467285	Yes	
row_2	SLC22A5	350	3.3541250228881836	7.083189E-4	Yes	
row_3	GSTZ1	377	3.2145345211029053	0.005766801	Yes	
row_4	METAP1	404	3.094428300857544	0.010825283	Yes	
row_5	HSD17B4	662	2.0365288257598877	0.003506334	Yes	
row_6	D2HGDH	664	2.0335123538970947	0.009904365	Yes	
row_7	ACAA1	796	1.7066172361373901	0.009336742	Yes	
row_8	IDH1	836	1.6330928802490234	0.013698658	Yes	
row_9	ALDOA	864	1.5844365358352661	0.01870356	Yes	
row_10	DECR1	896	1.5257329940795898	0.02349413	Yes	
row_11	HPGD	918	1.4971588850021362	0.028820522	Yes	
row_12	ETFDH	1101	1.2163491249084473	0.02552022	Yes	
row_13	ACADVL	1274	0.9923232197761536	0.022755736	Yes	
row_14	MIF	1330	0.9368770122528076	0.026260342	Yes	
row_15	SUCLG2	1728	0.657732367515564	0.01143992	Yes	
row_16	GPD2	1744	0.6498957276344299	0.017087804	Yes	
row_17	RDH11	1852	0.6013537049293518	0.017806148	Yes	
row_18	PCBD1	1898	0.5837668180465698	0.021846572	Yes	
row_19	PSME1	2103	0.4896070659160614	0.017367467	Yes	
row_20	AADAT	2119	0.4819888472557068	0.02301535	Yes	
row_21	MAOA	2402	0.386631041765213	0.0143568525	Yes	
row_22	ACADL	2668	0.30739104747772217	0.0066092475	Yes	
row_23	ACO2	2950	0.2448359876871109	-0.0019956683	Yes	
row_24	ACAT2	3053	0.22437581419944763	-0.0010094146	Yes	
row_25	PDHB	3119	0.2141743302345276	0.0019593714	Yes	
row_26	ACSL5	3189	0.2020389586687088	0.0047138296	Yes	
row_27	REEP6	3323	0.18266351521015167	0.0040390426	Yes	
row_28	DLST	3462	0.16168636083602905	0.0030963458	Yes	
row_29	APEX1	3469	0.159750297665596	0.0092264665	Yes	
row_30	LDHA	3606	0.1429910957813263	0.008390934	Yes	
row_31	LTC4S	3695	0.13338561356067657	0.010127335	Yes	
row_32	ENO2	3802	0.12060417234897614	0.010899261	Yes	
row_33	CD36	3860	0.11569131910800934	0.014296702	Yes	
row_34	MLYCD	3874	0.114651158452034	0.02005175	Yes	
row_35	CRYZ	3963	0.1055515930056572	0.02178815	Yes	
row_36	KMT5A	4155	0.08945377171039581	0.018005611	Yes	
row_37	DLD	4268	0.08121618628501892	0.018456046	Yes	
row_38	HMGCS2	4339	0.07593219727277756	0.02115692	Yes	
row_39	PPARA	4373	0.07349605858325958	0.025840329	Yes	
row_40	ECI1	4709	0.05258258804678917	0.014341988	Yes	
row_41	SERINC1	4800	0.04759490117430687	0.015971225	Yes	
row_42	XIST	4910	0.04147869348526001	0.016582405	Yes	
